generation,best_fitness,avg_fitness
1,101.6610,19.6061
2,134.7482,29.6091
3,551.3256,58.2234
4,554.5556,82.2971
5,554.5556,220.9119
6,557.8235,397.5995
7,561.1302,417.3006
8,566.3605,403.0809
9,566.3605,418.4127
10,569.6754,457.4043
11,569.6754,488.3049
12,569.6754,457.4855
13,569.6754,464.0696
14,569.6754,448.4415
15,569.6754,453.4417
16,569.6754,423.6857
17,569.6754,416.3869
18,569.6754,436.8882
19,569.6754,407.8238
20,569.6754,383.7539
21,569.6754,369.3711
22,569.6754,399.0378
23,569.6754,443.7700
24,569.6754,462.9072
25,569.6754,383.5357
26,569.6754,385.7978
27,569.6754,326.1176
28,569.6754,419.2106
29,569.6754,400.6884
30,569.6754,440.2642
31,569.6754,464.9546
32,569.6754,432.9092
33,569.6754,478.6956
34,569.6754,476.3553
35,569.6754,439.3273
36,569.6754,416.8231
37,569.6754,472.6423
38,569.6754,488.5995
39,569.6754,459.3263
40,569.6754,458.7047
41,569.6754,429.3578
42,569.6754,415.7104
43,569.6754,447.2831
44,569.6754,398.9299
45,569.6754,441.9314
46,569.6754,415.3161
47,569.6754,437.9400
48,569.6754,343.5248
49,569.6754,401.8749
50,569.6754,370.7220
51,569.6754,368.7598
52,569.6754,410.7529
53,569.6754,438.3168
54,569.6754,433.6619
55,569.6754,389.3719
56,569.6754,445.1274
57,569.6754,425.2003
58,569.6754,426.6676
59,569.6754,434.0184
60,569.6754,437.8877
61,569.6754,444.9926
62,569.6754,442.4790
63,569.6754,455.3870
64,569.6754,401.5108
65,569.6754,421.5337
66,569.6754,426.1448
67,569.6754,410.3938
68,569.6754,412.6059
69,569.6754,422.2404
70,569.6754,464.9623
71,569.6754,471.2643
72,569.6754,441.2100
73,569.6754,439.4443
74,569.6754,404.5760
75,569.6754,447.5350
76,569.6754,440.8887
77,569.6754,424.9752
78,569.6754,412.1221
79,569.6754,409.9839
80,569.6754,419.7563
81,569.6754,407.6995
82,569.6754,393.7352
83,569.6754,423.8871
84,569.6754,409.5752
85,569.6754,426.5241
86,569.6754,348.4521
87,569.6754,373.3088
88,569.6754,385.2851
89,569.6754,392.3101
90,573.0294,395.2304
91,573.0294,378.2726
92,573.0294,349.2042
93,573.0294,379.4416
94,573.0294,362.9399
95,573.0294,343.6777
96,573.0294,375.8446
97,573.0294,345.7579
98,573.0294,395.9834
99,573.0294,373.8590
100,573.0294,346.9036
